 0.0   0.000000
 0.1   0.496398
 0.2   0.955910
 0.3   1.344844
 0.4   1.635604
 0.5   1.809017
 0.6   1.855884
 0.7   1.777600
 0.8   1.585812
 0.9   1.301132
 1.0   0.951057
 1.1   0.567290
 1.2   0.182728
 1.3  -0.171593
 1.4  -0.469303
 1.5  -0.690983
 1.6  -0.825723
 1.7  -0.871808
 1.8  -0.836475
 1.9  -0.734796
 2.0  -0.587785
 2.1  -0.419952
 2.2  -0.256543
 2.3  -0.120759
 2.4  -0.031231
 2.5   0.000000
 2.6  -0.031231
 2.7  -0.120759
 2.8  -0.256543
 2.9  -0.419952
 3.0  -0.587785
 3.1  -0.734796
 3.2  -0.836475
 3.3  -0.871808
 3.4  -0.825723
 3.5  -0.690983
 3.6  -0.469303
 3.7  -0.171593
 3.8   0.182728
 3.9   0.567290
 4.0   0.951057
 4.1   1.301132
 4.2   1.585812
 4.3   1.777600
 4.4   1.855884
 4.5   1.809017
 4.6   1.635604
 4.7   1.344844
 4.8   0.955910
 4.9   0.496398
 5.0   0.000000
 5.1  -0.496398
 5.2  -0.955910
 5.3  -1.344844
 5.4  -1.635604
 5.5  -1.809017
 5.6  -1.855884
 5.7  -1.777600
 5.8  -1.585812
 5.9  -1.301132
 6.0  -0.951057
 6.1  -0.567290
 6.2  -0.182728
 6.3   0.171593
 6.4   0.469303
 6.5   0.690983
 6.6   0.825723
 6.7   0.871808
 6.8   0.836475
 6.9   0.734796
 7.0   0.587785
 7.1   0.419952
 7.2   0.256543
 7.3   0.120759
 7.4   0.031231
 7.5   0.000000
 7.6   0.031231
 7.7   0.120759
 7.8   0.256543
 7.9   0.419952
 8.0   0.587785
 8.1   0.734796
 8.2   0.836475
 8.3   0.871808
 8.4   0.825723
 8.5   0.690983
 8.6   0.469303
 8.7   0.171593
 8.8  -0.182728
 8.9  -0.567290
 9.0  -0.951057
 9.1  -1.301132
 9.2  -1.585812
 9.3  -1.777600
 9.4  -1.855884
 9.5  -1.809017
 9.6  -1.635604
 9.7  -1.344844
 9.8  -0.955910
 9.9  -0.496398
10.0  -0.000000
